2026-01-19 07:08:45,970 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators']
2026-01-19 07:08:45,995 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub']
2026-01-19 07:08:45,996 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub', 'start']
2026-01-19 07:08:46,198 DEBUG    root            On GCE from disk cache: False
2026-01-19 07:08:46,200 DEBUG    root            Running [gcloud.beta.emulators.pubsub.start] with arguments: [--host-port: "<googlecloudsdk.calliope.arg_parsers.HostPort object at 0x7ffffcb45160>"]
2026-01-19 07:08:46,201 DEBUG    root            Found Cloud SDK root: /usr/lib/google-cloud-sdk
2026-01-19 07:08:46,201 INFO     ___FILE_ONLY___ Executing: /usr/lib/google-cloud-sdk/platform/pubsub-emulator/bin/cloud-pubsub-emulator --host=0.0.0.0 --port=8085

2026-01-19 07:08:46,205 DEBUG    root            Chosen display Format:yaml
2026-01-19 07:08:46,699 INFO     ___FILE_ONLY___ [pubsub] This is the Google Pub/Sub fake.

2026-01-19 07:08:46,700 INFO     ___FILE_ONLY___ [pubsub] Implementation may be incomplete or differ from the real system.

2026-01-19 07:08:46,794 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 7:08:46 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 07:08:46,795 INFO     ___FILE_ONLY___ [pubsub] INFO: IAM integration is disabled. IAM policy methods and ACL checks are not supported

2026-01-19 07:08:46,997 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): No SLF4J providers were found.

2026-01-19 07:08:46,999 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): Defaulting to no-operation (NOP) logger implementation

2026-01-19 07:08:47,000 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.

2026-01-19 07:08:47,482 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 7:08:47 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 07:08:47,483 INFO     ___FILE_ONLY___ [pubsub] INFO: Server started, listening on 8085

2026-01-19 07:08:48,574 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 7:08:48 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 07:08:48,575 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 07:08:48,576 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 7:08:48 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 07:08:48,576 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 07:08:50,024 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 7:08:50 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 07:08:50,025 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 07:08:50,026 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 7:08:50 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 07:08:50,026 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 07:08:51,475 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 7:08:51 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 07:08:51,476 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 07:08:51,476 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 7:08:51 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 07:08:51,477 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 07:08:57,106 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 7:08:57 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 07:08:57,107 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 07:08:57,108 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 7:08:57 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 07:08:57,108 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

