2026-01-19 09:00:22,535 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators']
2026-01-19 09:00:22,561 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub']
2026-01-19 09:00:22,562 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub', 'start']
2026-01-19 09:00:22,833 DEBUG    root            Failed to check metadata server: <urlopen error [Errno -2] Name or service not known>
2026-01-19 09:00:22,833 DEBUG    root            On GCE from server: False
2026-01-19 09:00:22,836 DEBUG    root            Running [gcloud.beta.emulators.pubsub.start] with arguments: [--host-port: "<googlecloudsdk.calliope.arg_parsers.HostPort object at 0x7ffffca68980>"]
2026-01-19 09:00:22,836 DEBUG    root            Found Cloud SDK root: /google-cloud-sdk
2026-01-19 09:00:22,837 INFO     ___FILE_ONLY___ Executing: /google-cloud-sdk/platform/pubsub-emulator/bin/cloud-pubsub-emulator --host=0.0.0.0 --port=8085

2026-01-19 09:00:22,840 DEBUG    root            Chosen display Format:yaml
2026-01-19 09:00:23,381 INFO     ___FILE_ONLY___ [pubsub] This is the Google Pub/Sub fake.

2026-01-19 09:00:23,382 INFO     ___FILE_ONLY___ [pubsub] Implementation may be incomplete or differ from the real system.

2026-01-19 09:00:23,570 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:23 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 09:00:23,571 INFO     ___FILE_ONLY___ [pubsub] INFO: IAM integration is disabled. IAM policy methods and ACL checks are not supported

2026-01-19 09:00:23,763 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): No SLF4J providers were found.

2026-01-19 09:00:23,764 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): Defaulting to no-operation (NOP) logger implementation

2026-01-19 09:00:23,765 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.

2026-01-19 09:00:24,211 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:24 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 09:00:24,211 INFO     ___FILE_ONLY___ [pubsub] INFO: Server started, listening on 8085

2026-01-19 09:00:24,279 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:24 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:00:24,279 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:00:24,803 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:24 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:00:24,805 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:00:25,160 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:25 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:00:25,160 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:00:26,853 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:26 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:00:26,855 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:00:39,568 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:00:39,569 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:00:39,603 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,603 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:00:39,603 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,604 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:00:39,604 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,604 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:00:39,604 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,605 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 09:00:39,709 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:00:39,709 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:00:39,737 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.netty.HttpHandler$1 onError

2026-01-19 09:00:39,738 INFO     ___FILE_ONLY___ [pubsub] INFO: Exception when handling request: NOT_FOUND: Topic not found

2026-01-19 09:00:39,762 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:00:39,762 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:00:39,774 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,774 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:00:39,775 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,775 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:00:39,776 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,776 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:00:39,777 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,777 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 09:00:39,852 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:00:39,853 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:00:39,856 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,856 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:00:39,856 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,856 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:00:39,857 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,857 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:00:39,857 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,857 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 09:00:39,863 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.netty.HttpHandler$1 onError

2026-01-19 09:00:39,863 INFO     ___FILE_ONLY___ [pubsub] INFO: Exception when handling request: NOT_FOUND: Topic not found

2026-01-19 09:00:39,880 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:00:39,881 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:00:39,882 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,882 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:00:39,883 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,883 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:00:39,883 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,884 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:00:39,884 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,885 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 09:00:39,904 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:00:39,905 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:00:39,908 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,909 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:00:39,910 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:00:39 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:00:39,910 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

