2026-01-19 09:07:43,203 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators']
2026-01-19 09:07:43,324 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub']
2026-01-19 09:07:43,326 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub', 'start']
2026-01-19 09:07:43,559 DEBUG    root            On GCE from disk cache: False
2026-01-19 09:07:43,561 DEBUG    root            Running [gcloud.beta.emulators.pubsub.start] with arguments: [--host-port: "<googlecloudsdk.calliope.arg_parsers.HostPort object at 0x7ffffc7b4830>"]
2026-01-19 09:07:43,561 DEBUG    root            Found Cloud SDK root: /google-cloud-sdk
2026-01-19 09:07:43,562 INFO     ___FILE_ONLY___ Executing: /google-cloud-sdk/platform/pubsub-emulator/bin/cloud-pubsub-emulator --host=0.0.0.0 --port=8085

2026-01-19 09:07:43,568 DEBUG    root            Chosen display Format:yaml
2026-01-19 09:07:44,188 INFO     ___FILE_ONLY___ [pubsub] This is the Google Pub/Sub fake.

2026-01-19 09:07:44,189 INFO     ___FILE_ONLY___ [pubsub] Implementation may be incomplete or differ from the real system.

2026-01-19 09:07:44,336 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:07:44 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 09:07:44,337 INFO     ___FILE_ONLY___ [pubsub] INFO: IAM integration is disabled. IAM policy methods and ACL checks are not supported

2026-01-19 09:07:44,517 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): No SLF4J providers were found.

2026-01-19 09:07:44,518 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): Defaulting to no-operation (NOP) logger implementation

2026-01-19 09:07:44,518 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.

2026-01-19 09:07:44,953 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:07:44 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 09:07:44,954 INFO     ___FILE_ONLY___ [pubsub] INFO: Server started, listening on 8085

