2026-01-19 09:31:45,961 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators']
2026-01-19 09:31:46,111 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub']
2026-01-19 09:31:46,113 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub', 'start']
2026-01-19 09:31:46,341 DEBUG    root            On GCE from disk cache: False
2026-01-19 09:31:46,342 DEBUG    root            Running [gcloud.beta.emulators.pubsub.start] with arguments: [--host-port: "<googlecloudsdk.calliope.arg_parsers.HostPort object at 0x7ffffc7b0830>"]
2026-01-19 09:31:46,343 DEBUG    root            Found Cloud SDK root: /google-cloud-sdk
2026-01-19 09:31:46,343 INFO     ___FILE_ONLY___ Executing: /google-cloud-sdk/platform/pubsub-emulator/bin/cloud-pubsub-emulator --host=pubsub --port=8085

2026-01-19 09:31:46,350 DEBUG    root            Chosen display Format:yaml
2026-01-19 09:31:46,832 INFO     ___FILE_ONLY___ [pubsub] This is the Google Pub/Sub fake.

2026-01-19 09:31:46,833 INFO     ___FILE_ONLY___ [pubsub] Implementation may be incomplete or differ from the real system.

2026-01-19 09:31:46,997 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:46 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 09:31:46,997 INFO     ___FILE_ONLY___ [pubsub] INFO: IAM integration is disabled. IAM policy methods and ACL checks are not supported

2026-01-19 09:31:47,229 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): No SLF4J providers were found.

2026-01-19 09:31:47,230 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): Defaulting to no-operation (NOP) logger implementation

2026-01-19 09:31:47,230 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.

2026-01-19 09:31:47,804 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:47 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 09:31:47,805 INFO     ___FILE_ONLY___ [pubsub] INFO: Server started, listening on 8085

2026-01-19 09:31:49,127 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:49 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:31:49,128 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:31:49,332 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:49 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:31:49,333 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:31:49,652 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:49 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:31:49,653 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:31:49,811 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:49 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:31:49,811 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 09:31:53,602 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:31:53,603 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:31:53,642 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,643 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:31:53,643 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,643 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:31:53,644 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,644 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:31:53,644 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,645 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 09:31:53,744 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.netty.HttpHandler$1 onError

2026-01-19 09:31:53,744 INFO     ___FILE_ONLY___ [pubsub] INFO: Exception when handling request: UNAVAILABLE: io exception

2026-01-19 09:31:53,774 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:31:53,774 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:31:53,778 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,778 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:31:53,778 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,779 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:31:53,779 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,779 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:31:53,779 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,780 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 09:31:53,780 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.netty.HttpHandler$1 onError

2026-01-19 09:31:53,780 INFO     ___FILE_ONLY___ [pubsub] INFO: Exception when handling request: UNAVAILABLE: io exception

2026-01-19 09:31:53,800 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:31:53,800 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:31:53,802 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,803 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:31:53,803 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,803 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:31:53,804 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,805 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:31:53,805 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,806 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

2026-01-19 09:31:53,807 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.netty.HttpHandler$1 onError

2026-01-19 09:31:53,808 INFO     ___FILE_ONLY___ [pubsub] INFO: Exception when handling request: UNAVAILABLE: io exception

2026-01-19 09:31:53,829 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 09:31:53,829 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 09:31:53,833 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,834 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 09:31:53,834 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,834 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 09:31:53,835 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,836 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 09:31:53,836 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 9:31:53 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 09:31:53,837 INFO     ___FILE_ONLY___ [pubsub] INFO: Not forwarding key: content-length

