2026-01-19 10:15:44,105 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators']
2026-01-19 10:15:44,240 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub']
2026-01-19 10:15:44,242 DEBUG    root            Loaded Command Group: ['gcloud', 'beta', 'emulators', 'pubsub', 'start']
2026-01-19 10:15:44,458 DEBUG    root            Failed to check metadata server: <urlopen error [Errno -2] Name or service not known>
2026-01-19 10:15:44,458 DEBUG    root            On GCE from server: False
2026-01-19 10:15:44,461 DEBUG    root            Running [gcloud.beta.emulators.pubsub.start] with arguments: [--host-port: "<googlecloudsdk.calliope.arg_parsers.HostPort object at 0x7ffffc7b4830>"]
2026-01-19 10:15:44,462 DEBUG    root            Found Cloud SDK root: /google-cloud-sdk
2026-01-19 10:15:44,462 INFO     ___FILE_ONLY___ Executing: /google-cloud-sdk/platform/pubsub-emulator/bin/cloud-pubsub-emulator --host=0.0.0.0 --port=8085

2026-01-19 10:15:44,466 DEBUG    root            Chosen display Format:yaml
2026-01-19 10:15:45,028 INFO     ___FILE_ONLY___ [pubsub] This is the Google Pub/Sub fake.

2026-01-19 10:15:45,028 INFO     ___FILE_ONLY___ [pubsub] Implementation may be incomplete or differ from the real system.

2026-01-19 10:15:45,160 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:15:45 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 10:15:45,160 INFO     ___FILE_ONLY___ [pubsub] INFO: IAM integration is disabled. IAM policy methods and ACL checks are not supported

2026-01-19 10:15:45,545 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): No SLF4J providers were found.

2026-01-19 10:15:45,545 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): Defaulting to no-operation (NOP) logger implementation

2026-01-19 10:15:45,546 INFO     ___FILE_ONLY___ [pubsub] SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.

2026-01-19 10:15:46,171 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:15:46 AM com.google.cloud.pubsub.testing.v1.Main main

2026-01-19 10:15:46,172 INFO     ___FILE_ONLY___ [pubsub] INFO: Server started, listening on 8085

2026-01-19 10:15:46,309 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:15:46 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 10:15:46,309 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 10:15:47,206 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:15:47 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 10:15:47,207 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 10:15:47,315 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:15:47 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 10:15:47,316 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 10:15:47,401 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:15:47 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 10:15:47,402 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 10:15:47,730 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:15:47 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 10:15:47,731 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 10:15:48,589 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:15:48 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 10:15:48,590 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 10:15:48,635 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:15:48 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 10:15:48,636 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 10:15:48,713 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:15:48 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 10:15:48,714 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected HTTP/2 connection.

2026-01-19 10:16:38,398 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:16:38 AM io.gapi.emulators.netty.HttpVersionRoutingHandler channelRead

2026-01-19 10:16:38,399 INFO     ___FILE_ONLY___ [pubsub] INFO: Detected non-HTTP/2 connection.

2026-01-19 10:16:38,441 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:16:38 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 10:16:38,441 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Host

2026-01-19 10:16:38,442 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:16:38 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 10:16:38,442 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: User-Agent

2026-01-19 10:16:38,443 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:16:38 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

2026-01-19 10:16:38,443 INFO     ___FILE_ONLY___ [pubsub] INFO: Forwarding key: Accept

2026-01-19 10:16:38,443 INFO     ___FILE_ONLY___ [pubsub] Jan 19, 2026 10:16:38 AM io.gapi.emulators.grpc.HttpAdapter$StubMethodHandler handle

